feature,importance
ma_200_slope,282
volatility_60d,260
vol_ret_corr_20,212
amihud_illiquidity,204
ma_20_slope,198
volume_ma_10,192
volume_ma_20,192
volume_ma_50,191
volatility_20d,186
atr_14,178
ma_200_ratio,178
volatility_5d,170
ma_10_slope,164
volatility_10d,154
return_50d,150
ma_50_slope,149
ma_5,142
close_open_ratio,141
volume_ratio_10,141
ma_5_slope,130
return_10d,117
return_20d,117
return_3d,116
volume_ratio_50,115
rsi_30,105
return_1d,102
intraday_range_pct,100
ma_200,99
atr_30,97
return_5d,97
vol_term_structure,91
rsi_14,90
ma_10_ratio,90
volume_ratio_20,88
ma_20,87
ma_50_ratio,84
ma_10,82
gap_vs_atr,80
overnight_gap_pct,78
price_position_20,78
price_position_50,72
ma_50,71
ma_20_ratio,70
ma_5_ratio,69
low_20,51
low_50,50
high_low_ratio,43
high_50,25
high_20,22
realized_vol_10d,0
realized_vol_20d,0
log_return_10d,0
log_return_50d,0
realized_vol_5d,0
log_return_1d,0
log_return_5d,0
realized_vol_60d,0
log_return_3d,0
log_return_20d,0
momentum_5d,0
momentum_10d,0
momentum_20d,0
